Xnew	Ynew	Z_lit_vrai	DepthADV
258059.11972600000	5376577.93147999980	68.59020000000	0.63980000000
258059.27252299999	5376577.96850000042	68.62420000000	0.60580000000
258059.40331900000	5376578.00595000014	68.60520000000	0.62480000000
258059.53909499999	5376578.04231000040	68.60520000000	0.62480000000
258059.67089099999	5376578.07973999996	68.62420000000	0.60580000000
258059.79754900001	5376578.11027000006	68.66220000000	0.56780000000
258059.32393000001	5376577.12108999956	68.22520000000	1.00480000000
258059.45558899999	5376577.15153000038	68.18720000000	1.04280000000
258059.58724699999	5376577.18195999973	68.16820000000	1.06180000000
258059.72278800001	5376577.20631000027	68.16820000000	1.06180000000
258059.85446599999	5376577.23775000032	68.18720000000	1.04280000000
258059.98612500000	5376577.26817999966	68.66220000000	0.56780000000
258059.46122699999	5376576.31702999957	68.65820000000	0.57180000000
